Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
Mega Corp.,531417,,Finance & Investments,2.44,-1.61,24.4,3.41,-0.1,29.74,,,0,0,0.96,4.86,16.48,22.23,11.07,4.98,7.1,-117.24,-16.84,15.77,51.86,52.25,-0.41,1.01,84.85,33.74,48.31,0.14,0.52,0.54,59.25,28.5,3.11,2.79
Mega Flex Plast.,,MEGAFLEX,Packaging,30.35,-5.01,32.61,55.08,1.59,0,20.51,,0,0,4.72,6.57,0.45,8.9,15.69,18.71,,-45.36,-3.63,,73.32,23.77,-30.23,0.73,9.57,,,5.66,,4.4,15.3,15.3,36.12,39.79
Megasoft,532408,MEGASOFT,Pharmaceuticals - Indian - Bulk Drugs & Formln,89.45,4.99,659.87,0,-2.1,148.02,,,0,0,4.17,7.72,406.16,26.29,-100,-67.37,-50.5,-152.24,123.06,36.06,43.77,800.14,77.3,3.41,319.95,121.87,72.42,2.3,1.61,2.38,75.28,59.07,76.3,58.16
Megastar Foods,541352,MEGASTAR,Food - Processing - Indian,264.35,-4.2,298.55,271.55,8.85,80.98,33.73,0.69,0,0,23.6,21.9,1.42,20.15,13.25,18.19,21.19,69.87,41.44,49.23,61.47,379.43,-15.72,5.33,25.17,113.93,39.52,19.07,18.59,10.41,38.61,36.11,320.69,313.73
Megatherm,,MEGATHERM,Engineering,257.65,0.92,485.43,265.88,14.01,44.81,34.65,,0,0,32.12,30.13,1.95,18.4,41.55,26.41,,961.36,36.32,,72.71,517.35,,,,,,16.26,,7.68,,,270.39,233.41
Meghmani Organi.,543331,MOL,Pesticides / Agrochemicals - Indian,79.3,-0.5,2016.71,1730.33,-49.13,854.05,,,1.77,14.98,14.25,16.13,1.12,30.69,-37.99,53.95,,-117.19,36.57,,49.32,2851.79,-0.94,1.27,2.79,,,17.71,,7.45,8.54,8.54,84.9,85.06
Megri Soft,539012,,Computers - Software - Medium / Small,101.9,-2.95,32,2.07,0.49,0,65.31,6.81,0,0,2.38,3.25,16.31,42.45,11.29,5.68,3.5,-2,12.96,9.59,74.99,30.99,7.49,1.52,-2.95,29.89,,2.18,2.06,2.34,69.72,67.39,97.7,97.76
Mehai Technology,540730,,Trading,19.57,4.93,20.96,15.16,0.71,3.26,29.52,,0,0,3.86,6.58,2.75,11.93,156.08,,,273.68,,,52.16,24.1,7.76,0.81,10.94,-41.78,-22.05,,,3.19,55.2,55.2,25.27,23.98
Mehta Housg. Fin,511740,,Finance - Housing,103.35,-2.5,31.85,0,-0.19,0,,,0,0,-3.69,-3.66,,-167.11,,,,-5.56,17.06,,72.58,31.75,32.67,6.42,-9.18,77.12,68.54,-2.46,-3.31,-3.55,,,120.09,121.35
Mehta Integrat.,511377,,Finance & Investments,35.6,-1.11,17.8,0.01,0.53,1.65,33.58,1.62,0,0,3.84,3.37,1934,35.81,0,-71.89,,630,32.91,20.79,55.06,19.34,55.46,1.21,120.84,136.54,42.78,0.47,0.89,3.35,23.79,21.05,27.91,22.85
Mena Mani Inds.,531127,,Trading,8.48,-1.97,85.09,7.73,0.54,16.09,157.57,10.13,0,0,,5.01,14.3,99,-41.7,,-16.22,-27.03,30.88,15.55,48.33,100.98,38.79,,532.84,89.3,41.03,,,1.81,127.1,127.1,10.38,7.93
Menon Bearings,523828,MENONBE,Bearings,112.15,0.13,628.49,207.93,28.4,24.32,22.13,2.42,2.01,34.23,26.62,32.1,2.89,13.16,-3.14,16.4,8.53,-5.96,31.4,9.16,70.18,632.86,-21.41,4.67,17.93,27.94,6.49,23.6,23.36,18.93,20.09,19.22,127.2,131.38
Menon Pistons,531727,,Auto Ancillaries,89.85,-0.83,458.24,202.88,25.03,25.37,18.31,0.67,1.11,21.57,22.31,25.95,2.31,11.95,-4.86,20.92,7.35,33.85,75.15,27.5,74.37,481.76,7.12,3.8,128.92,74.02,34.78,18.38,15.24,14.96,14.78,14.24,94.5,80.6
MEP Infrast.,539126,MEP,Construction,11.5,-0.43,211.54,49.11,-242.4,391.72,,,0,0,,-20.94,2.41,-3.33,-89.5,-50.82,-36.25,38.15,-2.55,,39.12,590.04,-5.74,,-3.36,-10.42,-22.8,,,-7.74,35.19,25.62,14.12,14.22
Mercantile Vent.,538942,,Miscellaneous,20.55,-2.88,229.99,58.06,2.5,0,91.95,1.53,0,0,4.14,2.54,4.62,23.08,32.47,7.23,9.5,-76.2,-13.04,60.02,72.75,217.68,-6.93,0.65,23.42,16.61,32.78,3.67,4.24,3.94,20.03,17.5,23.94,22.83
Mercury EV-Tech,531357,,Automobiles - Passenger Cars,79.98,1.68,1404.03,23.44,2.16,33.33,650.01,,0,0,4.99,4.35,89.02,443.72,147.78,,,57.66,,,62.1,1433.22,63.63,27.34,504.99,382.96,,,,3.52,614.96,614.96,85.32,68.95
Mercury Labs,538964,,Pharmaceuticals - Indian - Formulations,832.1,-4.12,99.85,77.62,4.1,6.1,24.35,1.06,0.42,7.53,12.92,15.98,1.33,11.73,12.12,9.57,7.75,-32.12,19.77,22.89,73.66,100.04,4.27,2.09,48.63,9.86,19.67,12.36,11.72,8.54,16.9,16.24,912.44,870
Meson Valves Ind,543982,,Trading,670,3.44,680.72,36.65,4.52,11.46,150.6,,0,0,39.74,32.8,18.52,89.9,159.93,,,112.21,,,32.83,678.75,199.37,,,,,,,12.47,,,627.33,454.01
Metal Coatings,531810,,Steel - Medium / Small,80.07,-0.68,58.69,167.72,2.76,2.45,21.26,3.2,0,0,7.78,9.25,0.36,14.7,-2.51,12.28,9.01,47.59,-1.06,6.65,70.35,60.86,-13.57,1.55,-4.33,43.85,26.42,8.28,9.26,5.95,18.74,12.64,87.7,89.33
Metalyst Forg.,513335,METALFORGE,Castings & Forgings,3.75,-5.06,16.33,261.59,-240.4,1634.23,,,0,0,,,6.27,327.9,13.39,11.65,-6.89,4.78,6.49,8.96,61.32,1639.49,-15.73,,53.06,-9.44,-17.48,,,-12.16,,,4.28,3.85
Metro Brands,543426,METROBRAND,Leather / Leather Products,1153.95,1.02,31377.53,2317.85,325.82,1059.75,96.3,4.66,0.35,30.07,25.43,24.32,15.16,43.02,16.7,18.29,14.63,-9.93,31.15,20.65,74.17,32255.11,2.46,18.75,46.5,,,19.33,20.36,13.82,84.9,84.9,1135.7,1114.82
Metroglobal,500159,,Trading,135.2,-0.37,166.76,252.39,15.32,2,10.89,-136.13,1.85,16.11,2.77,3.66,0.61,6.71,0.48,-1.56,-6.44,-4.49,8.27,-0.08,74.73,142.34,49.41,0.45,91.96,34.96,20.04,2.37,2.8,2.57,8.54,7.92,141.64,118.77
Metropolis Healt,542650,METROPOLIS,Healthcare,1723.6,-0.31,8829.46,1159.26,124.77,231.12,70.77,10.61,0.46,28.67,15.24,17.38,7.83,32.03,-1.05,10.27,12.15,-16.55,-0.23,6.67,49.74,8989.23,18.07,8.44,43.45,-8.44,,22.49,24.41,9.51,52.4,53.03,1649.13,1567.01
Meyer Apparel,531613,,Textiles - Products,2.1,5,16.91,4.8,-2.16,0,,,0,0,,,2.68,-7.99,-10.61,5.14,-10.69,-38.46,18.9,9.91,74.32,16.86,-8.3,,68,49.38,-2.31,,,-40.89,,,1.84,1.71
MFL India,526622,,Miscellaneous,0.7,-4.11,25.22,52.24,-0.91,15,,,0,,0,0,2.83,-1942.5,1799.64,126.07,-25.34,-147.64,,,0.42,38.85,-2.78,,14.75,54.45,29.8,,,0,16.62,4.25,0.75,0.75
MIC Electronics,532850,MICEL,Electronics - Components,39.5,1.67,874.71,36.98,4.85,12.69,180.42,12.12,0,0,0.41,1.41,38.7,102.38,-19.24,130.94,-32.09,-1.66,26.22,14.89,74.62,886.58,52.51,12.02,229.17,283.56,108.6,,,0.32,172.95,172.95,41,33.55
Micropro Softwar,,MICROPRO,Computers - Software - Medium / Small,41.9,-2.44,59.91,22.06,5.92,9.08,10.12,,0,0,43.79,46.28,2.92,6.96,26.49,,,121.72,,,46.59,64.4,,,,,,,,25.69,,,52.21,63.2
Mid India Inds.,500277,,Trading,6.93,3.59,11.3,9.15,0.07,0,161.43,9.53,0,0,,,0.77,26.16,-55.1,19.85,-8.4,-91.57,181.26,16.94,50.91,11.25,-14.02,,-45,25.57,84.98,,,11.92,23.06,23.75,7.61,8.58
Mihika Industrie,538895,,Trading,25.9,7.74,25.9,0,-2.43,0,,,0,0,-10.32,-13.91,,-7.92,-100,,,-1057.14,,,47.14,25.58,3.64,1.2,8.37,,,-3.85,-2.49,-10.23,,,25.08,24.4
Milestone Global,531338,,Miscellaneous,27.9,-0.11,14,15.31,1.01,0,13.86,0.91,0,0,7.67,10.67,0.81,8.41,-9.14,7.63,9.13,129.55,34.31,15.24,73.26,12.61,90.7,1.55,63.73,39.4,15.83,5.39,4.63,6.5,11.44,11.72,27.63,21.86
MILGREY FIN.&INV,511018,,Finance & Investments,85.8,-2.05,184.82,0,-0.17,1.46,,,0,0,-15.38,-7.85,,-1095.41,-100,,,-112.5,0,-11.09,24.35,186.22,183.64,280.04,341.36,57.41,37.28,-4.9,-12.07,-0.75,118,118,78.83,53.94
Milkfood,507621,,Food - Processing - Indian,517.5,-1.57,265.37,448.69,6.44,123.75,41.21,13.65,0.48,0,7.41,9.29,0.83,14.55,5.1,-5.36,-0.98,-20.69,4.33,3.02,47.75,388.99,-11.67,1.93,-14.46,16.84,11.83,4.19,5.84,2.99,51.27,37.58,548.03,571.66
Milton Industri.,,MILTON,Miscellaneous,38.95,-5,66.2,72.65,2.02,20.53,32.77,1.93,0,0,6.89,9.28,1.39,15.28,14.46,-3.66,9.34,-39.52,-6.22,16.98,72.96,84.52,50.1,1.51,85.04,50.61,27.52,7.57,7.97,4.23,13.14,11.76,39.14,30.45
Minal Industries,522235,,Diamond Cutting / Jewellery,4.54,-1.94,87.12,37.05,0.18,13.23,484,,0,0,-0.59,1.95,3.69,50.23,56.66,-9.49,,-96.39,24.94,,59.42,98.95,-4.82,1.72,,,,-1.24,,-0.41,238.5,238.5,5.17,4.26
Minaxi Textiles,531456,,Textiles - Processing,2.82,4.44,13.94,32.33,-3.62,18.73,,,0,0,-68.58,-20.55,1.12,-13.44,-3.12,20.44,-11.8,21.98,,,38.13,32.66,76.25,2.24,66.86,67.51,28.02,-25.52,-13.26,-16.19,,25.83,2.69,2.2
Minda Corp,538962,MINDACORP,Auto Ancillaries,417.7,0.72,9986.35,4510.71,278.41,764.97,35.87,2.46,0.29,10.08,19.56,16.47,2.47,21.2,8.08,24.61,10.64,16.77,50.84,14.57,64.84,10622.13,25.44,5.32,96.7,61.7,25.21,13.48,8.01,9.86,30.3,25.51,403.24,355.73
Mindspace Busine,543217,MINDSPACE,Construction,345.39,0.36,20482.25,2409.2,396.16,6713.6,51.7,,,385.28,2.17,5.72,11.57,15.2,9.4,,,-4.43,310.55,,63.48,26579.85,10.45,1.43,5.63,4.56,,2.81,,1.59,46.03,46.03,336.88,325.75
Mindteck (India),517344,MINDTECK,Computers - Software - Medium / Small,203.35,-1.98,515.43,376.37,26.24,3.95,19.64,1.1,0.49,11.97,11.34,14.21,1.24,11.06,17.01,6.84,2.55,43,78.02,17.78,64.91,416.57,22.91,2.55,94.5,68.44,42.55,10.32,5.53,8.8,19.94,22.06,209.22,192.6
Mini Diamonds(I),523373,,Diamond Cutting / Jewellery,48,1.22,17.13,215.91,0.68,13.18,25.19,2.01,0,0,9.29,4.88,0.18,21.01,47.72,44.32,6.75,47.83,37.21,12.56,35.5,30.25,165.93,2.91,145.52,118.52,64.38,5.25,-4,0.52,14.29,14.21,28.82,21.9
Mipco Seaml Ring,505797,,Computers - Software - Medium / Small,31.88,-2,11.43,0,-0.3,0.77,,,0,0,,,,-40.5,,,,-275,19.35,11.55,29.67,12.15,95.82,,341.55,,26.1,,,-8.57,,,33.07,25.15
MIRC Electronics,500279,MIRCELECTR,Electronics - Consumer,19,0.8,438.81,896.19,-18.42,99.16,,,0,0,-6.77,-0.89,0.48,89.63,-20.8,22.48,8.8,-92.68,-5.65,,53.36,530.61,-8.65,2.46,62.39,11.52,-2.98,-4.11,-3.78,-2.16,132.67,143,21.56,19.66
Mirza Internatio,526642,MIRZAINT,Leather / Leather Products,42.8,-1.04,591.5,631.28,13.16,51.1,44.95,-2.11,0,0,4.59,7.57,0.98,11.55,-3.95,-19.7,-7.65,-57.82,-20.59,-21.28,71.77,638.17,-3.17,1.08,23.52,91.97,42.95,6.87,7.31,3.27,6.92,5,48.83,48.02
Mish Designs,544015,,Textiles - Products,119.15,11.88,33.36,11.05,0.61,3.06,54.69,,0,0,44.36,28.54,3.26,28.56,51.58,76.78,,1120,293.65,,68.39,35.98,,,,,,30.63,,10.75,42.62,42.62,134.11,142.23
Mishka Exim,539220,,Trading,34.1,0.29,49.27,2.71,-0.15,0.36,,,0,0,-1.45,-1.87,3.64,-449.73,-87.48,56.92,9.2,-850,16.36,,50.42,49.47,9.65,2.32,-53,10.9,4.9,0.13,-0.49,-1.32,489,318.18,34.25,38.39
Mishra Dhatu Nig,541195,MIDHANI,Steel - Medium / Small,394.25,5.63,7385.88,1011.75,110.99,497.98,66.55,15.92,0.85,0,12.59,14.64,9.04,31.81,18.94,6.94,5.67,-35,-0.79,4.18,74,7883.19,-3.54,5.6,116.5,30.61,22.81,14.72,15.48,5.52,22.64,21.98,406.78,376.96
Mishtann Foods,539594,,Food - Processing - Indian,17.58,-1.07,1868.43,1111.75,263.53,53.88,7.09,0.13,0.01,0,,,2.95,6.78,,,5.8,,,53.86,49.82,1918.62,26.38,5.93,133.16,93.67,-11.01,,,,93,80.67,19.14,15.82
Misquita Engg.,542801,,Engineering,71.9,9.97,19.37,8.85,-0.42,0.88,,,0,0,6.94,9.05,2.07,-202.5,-13.15,14.61,9.1,-223.53,-4.35,10.93,58.3,20.25,86.7,3.4,84.12,39.47,,5.65,7.27,4.53,25,25,58.13,47.99
Mitcon Consult.,,MITCON,Miscellaneous,112.55,1.4,151.13,117.44,3.71,126.55,40.74,0.46,0,0,4.37,5.35,3.19,9.8,39.28,10.91,7.3,-1.33,30.42,88.28,0,264.63,40.69,1.43,76.41,40.25,17.62,1.38,1.25,1.91,24.25,25.41,121.39,101.35
Mitshi India,523782,,Trading,23.29,0.87,20.5,20.67,0.58,0,35.34,,0,0,-31.17,-25.13,2.53,21.04,246.23,-0.43,21.38,172.5,,,15.57,19.57,-10.49,5.84,116.85,14.54,-6.04,-7.61,11.46,-20.99,26.98,36.59,25.92,23.04
Mitsu Chem Plast,540078,,Plastics Products,146.1,-1.95,188.01,312.17,9.33,81.86,20.15,0.72,0.14,2.05,20.84,16.83,0.87,10.2,3.92,30.65,22.44,-21,43.22,27.9,67.75,269.8,-15.5,3.06,0.58,11,21.42,23.98,21.4,7.36,29.6,28.69,167.59,177.63
Mittal Life Styl,,MITTAL,Trading,1.55,-3.13,45.87,68.31,0.73,0,62.84,-2.3,0,0,1.15,2.3,0.72,56.9,16.06,-13.94,-4.52,812.5,-43.79,-27.31,48.98,45.52,-7.74,1.44,91.36,18.56,-23.33,1.37,4.92,1.01,57,60,2.16,1.91
Miven Mach. Tool,522036,,Engineering,93.23,1.99,28,1.85,-0.67,2.25,,,0,0,,,29.36,-55.46,25,-43.91,-12.51,50,24.27,14.02,75,29.95,285.89,,641.1,133.32,63.21,,,-10.39,,0.66,87.67,57.72
MKP Mobility,521244,,Textiles - Cotton/Blended,182.15,-0.55,62.13,15.11,0.42,0.09,147.93,,0,0,-8.44,-8.44,510.58,127.65,,,,347.06,,,68.47,61.27,442.76,11.04,578.4,220.55,75.53,-8.11,-7.79,-7.8,120.6,120.6,158.79,81.36
MKVentures Cap.,514238,,Finance & Investments,1615.05,2.48,620.74,41.13,20.52,54.35,30.25,,0,0,,,23.44,16.32,,,,,,,74.36,643.75,27.56,7.49,53.11,335.01,,,,,26.15,26.15,1548.94,1307.73
MMP Industries,,MMP,Aluminium and Aluminium Products,254.6,-1.22,646.75,561.89,28.52,80.24,22.68,10.22,0.39,11.91,8.59,10.5,1.35,14.58,2.51,30.57,17.27,20.8,4.59,2.22,74.48,726.83,2.58,2.39,152.58,43.04,15.66,10.1,11,6.14,17.25,15.64,250.97,219.66
MMTC,513377,MMTC,Trading,66.45,0.23,9967.5,712.9,94.96,26.48,104.97,2.18,0,0,49.15,23.01,2.46,76.72,-85.95,-48.81,-26.51,-79.3,48.19,48.1,89.93,8679.32,13.78,6.89,137.32,15.12,18.87,,,7.34,47.16,48.04,71.84,59.94
Modern Dairies,519287,,Food - Processing - Indian,29.75,-4,69.38,343.06,11.2,5.37,6.19,0.29,0,0,,,0.34,3.8,84.89,-34.41,-14.28,-7.05,52,21.55,45.71,73.72,49.42,,63.82,45.34,42.13,,,16.55,4.15,3.83,31.44,27.11
Modern Engineer.,539762,,Construction,95.44,2,29.49,118.38,1.13,12.9,26.1,,0,0,,-36.73,0.6,7.59,5406.05,949.46,99.95,141.85,,,62.86,41.84,247.69,,264.97,105.48,,,,-11.4,23.88,23.88,60.2,29.48
Modern Insulator,515008,,Electric Equipment,85.54,4.85,403.27,425.84,32.83,3.71,12.28,1.13,0,0,7.39,7.55,0.93,9.21,-0.21,-0.45,1.34,45.01,0.04,10.86,60.2,401.85,7.98,1.01,111.68,23.74,,7.33,8.06,5.49,9.13,8.77,95.28,85.26
Modern Shares,509760,,Finance & Investments,35.48,6.74,10.4,3.06,0.3,0,34.67,-4.65,0,0,1.58,2.1,0.57,3.52,-3.47,9.37,-1.11,36.36,35.27,-7.46,72.83,1.69,60.91,0.84,128.9,83.2,29.32,1.41,-0.72,1.22,24.67,24.67,32.97,27.05
Modern Steels,513303,,Steel - Medium / Small,19.38,3.3,26.67,0,2.14,1.27,12.46,0.59,0,0,358.1,202.86,,12.95,-100,,,-97.78,33.36,21.29,65.53,27.72,7.13,2.14,50.82,71.38,11.99,,,182.95,0.3,0.3,23.12,21.44
Modern Threads,500282,MODTHREAD,Textiles - Spinning - Synthetic / Blended,62.54,7,217.51,297.42,30.81,0.01,7.06,0.25,0,0,,31.47,0.7,5.6,-0.64,14.52,12.85,92.92,3.56,28.08,65.1,211.67,,,,,,,,16.09,,,38.67,26.69
Modi Naturals,519003,,Solvent Extraction,191.25,-3.51,250.44,390.45,-4.96,148.13,,,0,0,1.35,3.2,0.95,151.28,-13.44,,,-230.87,,,69.09,394.84,-34.4,3.13,-14.51,40.03,19.22,,,0.49,42.3,42.3,240.85,250.67
Modi Rubber,500890,MODIRUBBER,Miscellaneous,86.9,1.16,217.6,19.86,15.6,17.29,13.95,0.29,0,0,4.32,4.89,43.3,8.22,364.02,2.85,-2.15,-44.21,155.97,47.91,59.5,230.33,20.28,0.34,62.43,-4.79,13.57,3.74,2.54,3.85,7,9.98,90.75,83.79
Modi's Navnirman,543539,,Construction,249.5,3.72,422.15,47.06,5.69,13.25,74.19,,0.4,29.38,31.94,29.84,10.09,60.6,111.41,,,7.97,,,62.95,434.48,45.91,12.64,68.3,,,,,12.72,51.49,51.49,240.19,198.48
Modipon,503776,,Construction,40.74,0.52,47.16,0,-0.57,44.77,,,0,0,,,,-161.19,,,,7.58,21.76,13.49,64.08,91.88,1.88,,21.07,31.3,16.54,,,-7.95,29.09,29.09,40.09,40.29
Modison,506261,MODISONLTD,Electric Equipment,116.4,-0.09,377.72,378.4,18.74,26.25,20.16,-8.4,0.86,29.1,7.09,10.24,1.2,11.82,8.98,15.14,10.72,33.67,-9.06,-2.4,52.11,402.09,50.58,1.94,126.46,35.83,20.91,10.79,11.08,5.91,14.41,11.9,120.22,106.21
Modulex Const.,504273,,Construction,9.72,4.97,67.26,0,-8.28,7.29,,,0,0,-3.76,-2.47,,-12.25,,,,18.1,-33.69,,22.62,74.23,-9.58,0.24,44,16.86,-15.68,-2.98,,-3.25,,,11.44,11.74
Mohini Health,,MHHL,Healthcare,52.8,0.48,96.29,194.12,6.82,36.14,14.12,2.29,0,0,7.92,12.14,0.69,6.85,7.42,14.61,5.41,-23.8,2.78,6.17,62.33,132.19,-25.16,1.02,7.87,29.79,9.2,7.38,8.52,4.77,12.04,9.26,57.49,61.88
Mohit Industries,531453,MOHITIND,Textiles - Processing,18.95,-1.3,26.83,150.53,-2.71,51.27,,,0,0,-0.92,1.49,0.47,26.94,-5.69,-1.48,1.23,-256.58,,,54.32,77.86,-3.07,0.12,69.2,24.8,18.82,-0.26,-0.03,-0.66,12.03,12.55,20.45,18.61
Mohit Paper Mill,530169,,Paper,30.15,0.57,42.21,197.45,7.61,59.65,5.55,0.15,0,0,13.82,13.23,0.43,5.38,-5.02,19.12,17.27,84.71,11.91,35.94,64.08,94.84,18.37,1.02,79.36,83.24,27.32,3.44,5.6,3.88,6.79,6.34,31.59,27.55
Mohite Industrie,532140,,Textiles - Cotton/Blended,36.29,3.27,72.94,93.79,5.94,137.38,12.28,,0,0,6.26,8.18,2.34,7.76,-5.68,-10.94,,-1,16.14,,68.82,202.71,42.87,0.66,86.39,29.01,25.54,5.65,,2.96,6.83,6.93,37.42,32.75
MOIL,533286,MOIL,Mining / Minerals / Metals,278.55,-1.08,5668.08,1461.61,283.14,0,20.02,-1.9,1.32,29.96,11.02,14.7,3.58,9.02,5.8,8.99,0.38,-3.85,-0.16,-10.55,64.68,4795.41,25.42,2.4,97.2,21.29,11.91,10.94,11.49,9.17,14.06,13.03,291.61,260.42
Moksh Ornaments,,MOKSH,Trading,17.05,-1.45,91.49,447.97,6.81,51.97,13.43,1.44,0,0,12.79,16.73,0.3,9.38,6.41,9.09,7.59,36.47,3.81,9.35,55.13,134.26,4.6,1.68,92.66,22.65,27.81,13.16,14.31,9.5,14.78,12.36,19.26,16.24
Mold-Tek Pack.,533080,MOLDTKPAC,Packaging,782.6,-2.5,2600.49,706.48,71.62,76.56,36.31,1.77,0.77,24.74,16.12,19.58,3.66,19.79,-2.3,18.61,16.56,-4.2,25.81,20.5,32.87,2674.58,-14.53,4.38,-13.22,25.79,25.01,18.27,18.4,12.66,37.38,37.18,841.4,889.24
Mold-Tek Technol,526263,MOLDTECH,Engineering,181.75,-0.03,516.01,161.06,31.53,10.82,16.37,0.41,1.87,28.95,33.2,41.71,3.34,10.04,21.24,13.3,14.72,32.09,39.64,39.5,49.01,491.07,-47.79,4.71,-21.42,66.82,31.68,24.87,24.41,26.64,20.68,18.51,220.32,255.48
Monarch Networth,511551,MONARCH,Finance & Investments,529.65,0.76,1793.9,230.35,97.14,98.41,18.47,1.04,0.19,7.88,22.12,31.19,3.69,4.22,54.68,32.12,12.02,91.45,165.73,17.82,55.86,596.75,58.72,6.43,173.58,102.22,71.89,29.45,24.07,6.82,15.48,12.84,560.54,454.69
Money Masters,535910,,Finance & Investments,149.6,-1.48,150.17,2.27,0.49,11.59,306.47,37.24,0,0,4.06,5.91,71.24,105.7,0.89,-2.24,-0.52,16.67,0.69,8.23,34.65,161.72,126.67,12.22,640.59,,97.41,3.79,3.91,1.84,124.73,124.36,122.38,69.09
Moneyboxx Fin.,538446,,Finance & Investments,255,-2.21,763,103.99,5.44,292.32,140.26,,0,0,-12.3,5.28,20.25,22.38,163.87,130.45,108.49,171.2,-56.12,,46.86,1020.82,26.18,8.98,65.53,53.25,93.46,-12.23,-11.04,-2.88,1207.62,447.12,253.77,223.74
Mono Pharmacare,,MONOPHARMA,Trading,44.1,-4.13,77.92,33.09,0.94,38.18,82.89,,0,0,,,3.43,49.3,,,,,,,56.72,113.39,34.04,2.83,,,,,,,63.82,63.82,54.36,45.34
Monotype India,505343,,Finance & Investments,0.56,-3.45,39.37,2.15,7.13,18.1,5.52,0.37,0,0,,-6.6,,7.67,-100,,,4556.25,25.51,14.84,25.22,57.33,3.7,,133.33,43.38,24.13,,,-1.74,7,7,0.78,0.6
Monte Carlo Fas.,538836,MONTECARLO,Textiles - Products,626.45,1.42,1298.76,1092.11,100,508.77,12.99,0.89,3.19,31.23,18.13,20.37,1.61,8.46,4.66,15.49,14.19,-20.36,28.42,14.61,73.17,1794.35,-21.41,1.76,-2.57,40.98,11.54,16.11,14.74,10.16,12.31,10.79,654.88,701.26
Morarjee Text.,532621,MORARJEE,Textiles - Products,17.1,-4.47,62.13,70.86,-114.82,522.04,,,0,0,,-21.79,2.81,-42.7,-69.9,-18.49,-10.54,18.79,,,59.71,582.04,-19.34,,1.79,5.17,-6.08,,,-26.98,,116.83,22.32,22.59
Morarka Finance,511549,,Finance & Investments,147.65,1.34,66.44,6.79,5.36,0,12.4,0.83,3.39,48.08,2.04,2.39,10.93,10.09,10.95,2.57,16.34,6.14,-1.85,14.87,66.78,64.04,11.69,0.28,41.98,62.75,43.46,2.03,3.07,2.03,11.77,9.65,148.29,138.29
Morepen Labs.,500288,MOREPENLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,42.05,0.12,2149.46,1631.05,76.12,27.76,28.24,5.13,0,0,5.93,8.57,1.5,15.29,14.69,18.44,18.51,78.06,4.83,5.5,38.22,2119.63,13.34,2.72,63.3,9.88,19.51,16.36,15.3,3.55,26.85,24.21,46.27,41.69
Morgan Ventures,526237,,Finance & Investments,40.35,0.93,39.95,11.72,2.42,164.52,16.51,0.06,0,0,11.81,5.31,16.94,21.54,-36.99,117.47,312.41,-76.73,294.94,258.96,74.8,202.05,18.47,0.7,24.35,71.85,30.4,11.99,6.46,3.18,4.51,4.64,40.94,39.89
Morganite Crucib,523160,,Refractories / Intermediates,1339,0.35,749.84,162.02,24.77,1.48,30.27,10.55,2.09,69.48,12.88,17.84,4.46,15.91,0.48,6.34,7.21,-9.53,7.05,2.87,75,689.19,-1.66,5.47,53.22,17.22,13.37,14.33,14.33,10.17,18.2,30.27,1470.2,1397.61
MOS Utility,,MOS,Trading,127.4,-1.51,317.68,136.56,9.55,2.13,33.26,,0,0,27.12,27.21,2.99,22.32,39.43,-42.37,,122.09,37.11,,64.67,316.99,41.87,4.18,,,,15.98,,10.68,22.24,22.24,132.3,111.78
Moschip Tech.,532407,,Computers - Software - Medium / Small,88.56,-0.3,1666.13,272.32,10.55,76.04,157.93,7.9,0,0,6.93,8.78,8.66,46.07,49.68,25.93,26.94,86.4,30.36,20,47.63,1716.85,0.43,8.07,38.81,55.73,36.05,1.69,-16.02,3.28,181.57,181.57,94.77,89.63
Motherson Wiring,543498,MSUMI,Auto Ancillaries,66.1,1.23,29223.52,7945.11,585.34,282.63,49.93,,0.98,59.01,39.79,43.82,4.18,31.16,15.91,,,37.86,,,61.73,29489.72,2.56,22.2,39.6,,,,,17.82,53.16,53.16,66,62.48
Motil.Oswal.Fin.,532892,MOTILALOFS,Finance & Investments,1666.75,-0.88,24835.79,5957.56,1882.72,12011.86,13.19,1.57,0.84,15.87,15.62,12.94,6.21,7.79,41.81,21.01,8.71,76.53,72.06,8.41,69.39,25948.32,89.65,3.32,187.3,37.99,22.59,24.12,19.42,4.7,9.39,11.66,1586.92,1245.67
Motisons Jewel,544053,MOTISONS,Diamond Cutting / Jewellery,160.05,0.34,1575.63,366.19,22.21,169.19,70.94,,0,0,17.57,16.46,4.76,35.13,16.51,18.7,,50.58,91.55,,66,1743.12,,11.03,,,,14.09,,6.91,52.13,52.13,159.15,134.38
