Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
Umang Dairies,500231,UMANGDAIRY,Food - Processing - Indian,75.45,2.37,166.01,318.45,-5.77,57.32,,,0,0,-7.2,0.38,0.76,81.2,26.96,6.16,3.61,-36.73,,,74.61,221.68,11.94,4.35,29.97,9.61,6.92,-8.39,-2.03,-2.07,41.31,21.45,81.45,74.41
Uni Abex Alloy,504605,,Castings & Forgings,2996.85,-1.59,591.88,187.13,38.59,8.01,15.34,0.22,0.67,21.37,25.06,30.77,3.56,10.16,15.28,16.98,15.16,142.7,51.07,68.51,63.62,583.34,39.41,5.97,212.27,97.56,47.11,22.39,21.07,15.13,11.11,11.05,3075.04,2494.87
Unichem Labs.,506690,UNICHEMLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,492.05,2.11,3464.31,1675.3,-20.15,290.17,,,0,-13.92,-7.05,-4.58,2.75,30.26,27.8,6.76,10.52,76,,,70.22,3689.92,17.72,1.44,71.42,16.49,20.39,-1.57,-1.92,-5.47,93.52,98.03,497.8,441.13
Unick Fix-A-Form,541503,,Printing & Stationery,52.25,-4.91,28.66,56.74,1.21,18.39,23.69,-67.69,0,0,7.87,10.35,0.66,5.78,-15.62,10.98,18.25,-41.55,-8.14,-0.35,35.64,43.44,-10.33,0.94,44.94,27.01,12.15,9.24,10.42,3.16,10.11,9.07,58.69,55.25
Unifinz Capital,541358,,Finance & Investments,61.8,-5,19.41,23.53,-1.46,29.09,,,0,0,-10.95,4.67,5.11,29.77,260.34,87.41,48.43,-170.37,,,71.86,46.74,50.92,3.9,-25.57,-38.37,,6.41,3.83,-4.81,38.13,41.06,54.21,66.02
Unihealth Consul,,UNIHEALTH,Healthcare,135,5.3,207.9,43.94,7.64,28.66,27.21,,0,0,36.11,22.45,4.22,11.67,19.3,25.5,,105.38,111.72,,68.8,185.43,5.3,,,,,38.68,,10.68,,,139.23,137.11
Uniinfo Telecom,,UNIINFO,Telecommunications - Service Provider,34.9,2.35,37.32,53.92,2.55,4.85,14.64,-0.47,0,0,1.91,3.09,1.13,9.29,59.95,-4.99,-0.16,750,-8.64,-30.93,50.91,40.43,35.8,1.13,99.43,21.31,-1.43,-6.08,-0.09,1.49,25.38,18.76,38.99,31.79
Union Bank (I),532477,UNIONBANK,Banks - Public Sector,153.5,1.52,117175.85,96028.69,13280.62,1163058.51,8.82,0.3,1.95,24.09,11.38,5.02,14.39,14.53,26.31,29.38,19.76,83.01,67.88,29.46,74.76,1167635.5,44.4,1.33,131.17,65.11,9.93,8.66,4.26,0.69,6.43,6.66,143.26,115.88
Uniparts India,543689,UNIPARTS,Auto Ancillaries,523.9,0.32,2364.56,1177.9,141.37,62.57,16.73,,2.72,31.03,27.12,31.71,1.76,10.47,-14.91,14.62,,-31.01,52.94,,65.66,2400.78,-10.71,2.7,-0.65,,,24.66,,19.37,14.48,14.48,553.65,564.98
Uniphos Enter.,500429,UNIENTER,Trading,133.4,-1.08,927.8,0,39.72,0.29,23.36,1.34,4.87,115.24,1.23,1.24,610.16,22.2,-100,85.58,,3.79,22.44,17.41,73.78,896.93,-18.53,0.35,-6.02,15.8,3.53,1.42,1.24,1.19,25.83,23.64,143.96,151.5
